Exchange, URL, REPO, Whitepaper/Docs, DEX GRADE, Status, Protocol, Reference
Radar Relay, https://app.radarrelay.com/, https://github.com/RadarRelay, , ACL-DCD, (operating - beta), 0x protocol, 
Radex, https://exchange.rados.io/, https://github.com/rados-io/radex, , , (operating - alpha), saturn protocol, 
Raiden, https://raiden.network/, https://github.com/raiden-network/raiden/, https://raiden.network/101.html, , (developing), raiden protocol, 2
Raidex, https://www.raidex.io/, , , , (developing), raiden protocol, 
Relayer Network, https://relayer.network/, , , , (developing), 0x protocol (modular trade networks), 
Republic Protocol, https://republicprotocol.com/, , , , (operating), republic protocol, 2
RigoBlock, https://rigoblock.com/, , , , (operating with issues), rigoblock protocol, 
Ripple, https://ripple.com/, https://github.com/ripple/, http://whitepaperdatabase.com/ripple-xrp-whitepaper/, , (released), ripple protocol, 2
Rippex, https://rippex.net/carteira-ripple.php, , , DC, (operating), ripple protocol, 7
River Exchange, , https://github.com/didil/river-x, , FULLY, (developing), TBC, 
RSK, https://www.rsk.co/, https://github.com/rsksmart/, https://uploads.strikinglycdn.com/files/ec5278f8-218c-407a-af3c-ab71a910246d/RSK%20White%20Paper%20-%20Overview.pdf, , (developing), rsk protocol, 2
RuDEX, https://rudex.org/, , , , (operating - beta), bitshares protocol (Graphene), 
SAFEX, , https://github.com/dallyshalla/safex-while/, , , (released), safex protocol, 2
Saturn, https://saturn.network/,  https://github.com/rados-io, https://whitepaper.saturn.network/, , (released), saturn protocol, 2
SDEX, https://www.stellar.org/blog/2018-Stellar-Roadmap/, , , , (developing), stellar consensus protocol, 
Settle, https://settle.network/, https://github.com/spolu/settle/, , , (developing), settle protocol, 2
SingularX, https://ex.singularx.com/, , , , (operating), TBC, 
Smart-Exchange, , , https://debris.gitbooks.io/ethchange/content/, , (developing - whitepaper), icap protocol, 
Stellarport, https://stellarport.io/, , , , (operating), stellar consensus protocol, 
Stellar Term, https://stellarterm.com/, , , , (operating), stellar consensus protocol, 
STeX, https://stex.exchange/, https://github.com/stex-exchange/, https://stex.exchange/media/pdf/whitepaper.pdf, , (operating), a2a protocol, 3-5-9
Streamity, https://streamity.org/, https://github.com/streamity/, https://streamity.org/uploads/docs/en/Whitepaper_Streamity_en.pdf, , (developing), TBC, 3
Stronghold, https://stronghold.co/, , , , (operating), stellar consensus protocol, 
Swap Protocol, https://swap.tech/faq/, , , , (operating), swap protocol, 2
Switcheo, http://switcheo.exchange/, https://github.com/ConjurTech/switcheo, , , (operating), neo protocol, 
Tettix, https://tettix.io/, https://github.com/Tettix/, https://medium.com/@TettixDev/details-of-tettix-e5c9f310fa41, FULLY, (dead), tettix mechanism protocol, 
The 0cean, https://the0cean.com/, , , , (private beta), 0x protocol, 
The World Exchange, https://www.theworldexchange.net/, https://github.com/pftq/TheWorldExchange/, , , (operating), ripple protocol, 
Token Changer, http://tokenchanger.io/, , https://medium.com/tokenchanger/token-changer-whitepaper-18c0e7227c25, , (developing), multi protocol, 
Tokens, https://www.tokens.net/, , , , (developing), dynamic trading rights protocol, 
Token Store, https://token.store/, , , , (operating), TBC, 
Trade.io, https://trade.io/, , https://trade.io/whitepaper/ES.pdf, , (developing), raiden protocol, 
TrueBit, https://truebit.io/, https://github.com/TrueBitFoundation, https://people.cs.uchicago.edu/~teutsch/papers/truebit.pdf, , (developing), truebit protocol, 2
txbit.io, http://txbit.io/, , , , (announced), xevan protocol, 
UbiTok.io, https://ubitok.io/, , , , (operating), on-chain protocol, 
ValueCash, hhttps://www.valuecash.com/, , https://www.valuecash.com/public/assets/files/Whitepaper.pdf, , (developing), proof of trade protocol, 4
VariabL, https://variabl.io/, , , , (open alpha), VariabL protocol, 5
Velcron, https://velcron.io/, , , , (developing), state-channel protocol, 
VenDEX, , https://github.com/p2pdex/VenDEX, https://github.com/p2pdex/VenDEX/blob/master/VenDEX%20Client%20Original%20Description.doc?raw=true, , (dead), TBC, 
Wanchain, https://wanchain.org/, https://github.com/wanchain, https://wanchain.org/files/Wanchain-Whitepaper-EN-version.pdf, , (developing), wanchain protocol (cross-chain), 2
WandX, https://exchange.wandx.co/, , , , (operating), wandx protocol, 
Waves, https://waveswallet.io/, , , , (operating), waves protocol (Matcher), 
WixExchange, https://crowdwiz.io/, https://github.com/CrowdWiz-io/, https://crowdwiz.io/docs/whitepaper-en-1507561917.pdf, DD-DG, (developing),  TBC, 
Wyvern, https://exchange.projectwyvern.com/, https://github.com/ProjectWyvern/wyvern-ethereum, https://github.com/ProjectWyvern/wyvern-protocol/raw/master/build/whitepaper.pdf, , (operating - alpha), wyvern protocol, 
xChainge, https://xchain.io/, , , , (operating), counterparty protocol, 
YouDEX, http://youdex.io/, https://github.com/YouDex/dex, http://youdex.io/white-paper/, , (developing), cdx protocol, 
YouStock, http://youstock.io/, https://github.com/YouStock, https://medium.com/youstock/, DS, (developing), atomic swap protocol, 11
zDEX, https://pivx.org/, https://github.com/PIVX-Project/PIVX/, , , (announced), pivx protocol, 10
Zero Exchange, http://www.zero.exchange/, , , , (operating with issues), 0x protocol, 
Zeus, https://zeus.exchange/, , https://zeus.exchange/zeus/ZEUS%20EXCHANGE%20EXECUTIVE%20SUMMARY%2027%20NOV%202017.pdf, , (developing), nem protocol, 3
Zip Exchange, https://zip.exchange/, , , , (developing), 0x protocol,
